week,week_end,economy_axis,markets_axis,gap
2021-W24,2021-06-20,0.646,-0.9975285230967796,-1.6435285230967795
2021-W25,2021-06-27,0.646,0.12776307333148984,-0.5182369266685102
2021-W26,2021-07-04,0.10850000000000001,-0.9999998725929724,-1.1084998725929724
2021-W27,2021-07-11,0.10850000000000001,-0.9466550858315244,-1.0551550858315244
2021-W28,2021-07-18,0.10850000000000001,-0.907050019358444,-1.015550019358444
2021-W29,2021-07-25,0.10850000000000001,-0.9381366798058733,-1.0466366798058733
2021-W30,2021-08-01,0.10850000000000001,-0.9918189475927226,-1.1003189475927226
2021-W31,2021-08-08,0.10850000000000001,-0.9017927531074452,-1.0102927531074453
2021-W32,2021-08-15,0.10850000000000001,-0.8433940847522758,-0.9518940847522759
2021-W33,2021-08-22,0.10850000000000001,-0.8947593947639219,-1.003259394763922
2021-W34,2021-08-29,0.10850000000000001,-0.7754082138015663,-0.8839082138015664
2021-W35,2021-09-05,-0.07100000000000001,-0.5604373518906371,-0.48943735189063714
2021-W36,2021-09-12,-0.07100000000000001,-0.3094214339043023,-0.23842143390430232
2021-W37,2021-09-19,-0.07100000000000001,0.019442547129772173,0.09044254712977218
2021-W38,2021-09-26,-0.07100000000000001,0.36902677723316046,0.44002677723316047
2021-W39,2021-10-03,-0.10850000000000001,-0.08152968616159599,0.026970313838404023
2021-W40,2021-10-10,-0.10850000000000001,0.17347695435403473,0.28197695435403475
2021-W41,2021-10-17,-0.10850000000000001,-0.6451066725260328,-0.5366066725260328
2021-W42,2021-10-24,-0.10850000000000001,-0.7665767019747213,-0.6580767019747212
2021-W43,2021-10-31,-0.10850000000000001,-0.7393385627653118,-0.6308385627653118
2021-W44,2021-11-07,-0.27299999999999996,0.05441156615404319,0.32741156615404315
2021-W45,2021-11-14,-0.27299999999999996,-0.24387295019902064,0.029127049800979327
2021-W46,2021-11-21,-0.27299999999999996,-0.27033787271204684,0.00266212728795312
2021-W47,2021-11-28,-0.27299999999999996,-0.9733912552501361,-0.7003912552501361
