week,week_end,economy_axis,markets_axis,gap
2021-W24,2021-06-20,0.109,-0.0593891580377566,-0.16838915803775661
2021-W25,2021-06-27,0.11000000000000007,0.5924298920397122,0.4824298920397121
2021-W26,2021-07-04,0.04949999999999996,0.04380409913838952,-0.0056959008616104395
2021-W27,2021-07-11,0.04799999999999998,-0.02752753146088319,-0.07552753146088317
2021-W28,2021-07-18,0.04750000000000002,-0.42958389810360864,-0.4770838981036087
2021-W29,2021-07-25,0.041499999999999974,-0.09834052128390115,-0.13984052128390112
2021-W30,2021-08-01,0.020500000000000004,-0.35621255262203017,-0.3767125526220302
2021-W31,2021-08-08,0.014000000000000012,0.030814436727152377,0.016814436727152365
2021-W32,2021-08-15,0.018500000000000003,-0.30827449809017093,-0.32677449809017095
2021-W33,2021-08-22,0.014000000000000005,-0.4759297463849158,-0.4899297463849158
2021-W34,2021-08-29,0.018999999999999975,0.09241418011985861,0.07341418011985863
2021-W35,2021-09-05,-0.013499999999999956,0.2808547481075746,0.29435474810757456
2021-W36,2021-09-12,-0.014999999999999972,0.16065600238203873,0.1756560023820387
2021-W37,2021-09-19,-0.016000000000000028,0.35828430188071586,0.3742843018807159
2021-W38,2021-09-26,-0.021000000000000033,0.4180234194824962,0.43902341948249624
2021-W39,2021-10-03,0.02249999999999995,0.4809862879774144,0.4584862879774144
2021-W40,2021-10-10,0.02299999999999998,0.4321032161960342,0.40910321619603424
2021-W41,2021-10-17,0.022499999999999992,0.5118234142695935,0.4893234142695936
2021-W42,2021-10-24,0.02700000000000001,0.5518885176658461,0.5248885176658461
2021-W43,2021-10-31,0.024499999999999994,0.4666054555619812,0.4421054555619812
2021-W44,2021-11-07,0.08350000000000003,0.8183313006133168,0.7348313006133168
2021-W45,2021-11-14,0.08250000000000002,0.6383192221501283,0.5558192221501282
2021-W46,2021-11-21,0.07849999999999996,0.3482524678445355,0.26975246784453555
2021-W47,2021-11-28,0.07099999999999995,-0.8195275977086238,-0.8905275977086238
2021-W48,2021-12-05,0.042500000000000024,-0.9132690790842832,-0.9557690790842832
2021-W49,2021-12-12,0.058000000000000024,-0.4830041245107818,-0.5410041245107818
2021-W50,2021-12-19,0.05249999999999995,-0.5604420586827702,-0.6129420586827702
2021-W51,2021-12-26,0.05449999999999998,0.2520502590412079,0.19755025904120793
2021-W52,2022-01-02,0.006000000000000019,0.06435352290181212,0.0583535229018121
2022-W01,2022-01-09,0.000999999999999994,-0.6911258523884468,-0.6921258523884468
2022-W02,2022-01-16,-0.002999999999999989,-0.7854413291660792,-0.7824413291660792
2022-W03,2022-01-23,-0.014000000000000005,-0.9242197246769203,-0.9102197246769202
2022-W04,2022-01-30,-0.023499999999999972,-0.8983109889093833,-0.8748109889093834
2022-W05,2022-02-06,0.02399999999999998,-0.728617106518028,-0.752617106518028
2022-W06,2022-02-13,0.017499999999999995,-0.7138036712341493,-0.7313036712341493
2022-W07,2022-02-20,0.0009999999999999731,-0.407611547945922,-0.408611547945922
2022-W08,2022-02-27,-0.009499999999999984,-0.1903971260449588,-0.1808971260449588
2022-W09,2022-03-06,-0.08399999999999999,-0.6444197998011028,-0.5604197998011028
2022-W10,2022-03-13,-0.085,-0.17202397354800072,-0.08702397354800072
2022-W11,2022-03-20,-0.12650000000000003,0.35779034268135773,0.48429034268135773
2022-W12,2022-03-27,-0.11900000000000002,0.11332183321200072,0.23232183321200073
2022-W13,2022-04-03,-0.12900000000000003,0.07171007379647654,0.20071007379647657
2022-W14,2022-04-10,-0.1325,-0.5756609164667992,-0.44316091646679917
2022-W15,2022-04-17,-0.13450000000000006,-0.06743287086400643,0.06706712913599364
2022-W16,2022-04-24,-0.13600000000000004,-0.29664404657392146,-0.16064404657392142
2022-W17,2022-05-01,-0.18300000000000005,-0.7221537743382975,-0.5391537743382975
2022-W18,2022-05-08,-0.243,-0.8717654379753177,-0.6287654379753177
2022-W19,2022-05-15,-0.254,-0.9059972575795783,-0.6519972575795783
2022-W20,2022-05-22,-0.24950000000000003,-0.8466435592899336,-0.5971435592899336
2022-W21,2022-05-29,-0.24849999999999997,-0.5663497207659743,-0.3178497207659744
2022-W22,2022-06-05,-0.241,-0.42046628198922714,-0.17946628198922715
2022-W23,2022-06-12,-0.24900000000000003,-0.6116302223599092,-0.36263022235990916
2022-W24,2022-06-19,-0.3085,-0.6470574223486512,-0.33855742234865116
2022-W25,2022-06-26,-0.31299999999999994,-0.3792385830120951,-0.06623858301209518
2022-W26,2022-07-03,-0.3105,-0.7855233776483117,-0.4750233776483117
2022-W27,2022-07-10,-0.3105,-0.08736205719271203,0.22313794280728796
2022-W28,2022-07-17,-0.2995,-0.2770009319363657,0.022499068063634275
2022-W29,2022-07-24,-0.29300000000000004,0.48086547046729194,0.773865470467292
