week,week_end,economy_axis,markets_axis,gap
2021-W24,2021-06-20,-0.2493,-0.9975285230967796,-0.7482285230967797
2021-W25,2021-06-27,-0.2493,0.12776307333148984,0.3770630733314898
2021-W26,2021-07-04,-0.41370000000000007,-0.941043224081304,-0.527343224081304
2021-W27,2021-07-11,-0.41370000000000007,-0.8854348399276021,-0.471734839927602
2021-W28,2021-07-18,-0.41370000000000007,-0.8016414051607533,-0.38794140516075326
2021-W29,2021-07-25,-0.41370000000000007,-0.8822475353477391,-0.4685475353477391
2021-W30,2021-08-01,-0.4316000000000001,-0.9576871706599395,-0.5260871706599394
2021-W31,2021-08-08,-0.4316000000000001,-0.7235643792293909,-0.2919643792293908
2021-W32,2021-08-15,-0.4316000000000001,-0.5117532554815956,-0.08015325548159546
2021-W33,2021-08-22,-0.4316000000000001,-0.5127580833339215,-0.08115808333392138
2021-W34,2021-08-29,-0.4316000000000001,-0.3744557878659572,0.057144212134042915
2021-W35,2021-09-05,-0.4386,-0.20921770284261892,0.22938229715738107
2021-W36,2021-09-12,-0.4386,-0.035258829178774716,0.4033411708212253
2021-W37,2021-09-19,-0.4386,-0.12416706384835104,0.31443293615164897
2021-W38,2021-09-26,-0.4386,-0.045862953658331325,0.39273704634166867
2021-W39,2021-10-03,-0.4434,0.355379729797494,0.798779729797494
2021-W40,2021-10-10,-0.4434,0.8111970379353663,1.2545970379353664
2021-W41,2021-10-17,-0.4434,0.4150392538558614,0.8584392538558614
2021-W42,2021-10-24,-0.4434,0.747546323787403,1.190946323787403
2021-W43,2021-10-31,-0.4434,0.19029637521113232,0.6336963752111323
2021-W44,2021-11-07,-0.2572,-0.09357649156149782,0.16362350843850215
2021-W45,2021-11-14,-0.2572,0.5513461498990864,0.8085461498990864
2021-W46,2021-11-21,-0.2572,0.24466191184365496,0.5018619118436549
2021-W47,2021-11-28,-0.2572,-0.22400494999074852,0.033195050009251464
2021-W48,2021-12-05,-0.2615,-0.8144201712401542,-0.5529201712401541
2021-W49,2021-12-12,-0.2615,0.26140550592776973,0.5229055059277697
2021-W50,2021-12-19,-0.2615,-0.29270526766047583,-0.03120526766047582
2021-W51,2021-12-26,-0.2615,-0.05255443442983912,0.2089455655701609
2021-W52,2022-01-02,-0.26060000000000005,-0.1260128962196621,0.13458710378033795
2022-W01,2022-01-09,-0.26060000000000005,0.0824653601060193,0.34306536010601935
2022-W02,2022-01-16,-0.26060000000000005,0.14054721299044892,0.401147212990449
2022-W03,2022-01-23,-0.26060000000000005,0.11717539758392392,0.377775397583924
2022-W04,2022-01-30,-0.26060000000000005,-0.0725862015060328,0.18801379849396727
2022-W05,2022-02-06,-0.32130000000000003,0.21814335503734755,0.5394433550373476
2022-W06,2022-02-13,-0.32130000000000003,-0.1523365763204242,0.16896342367957584
2022-W07,2022-02-20,-0.32130000000000003,-0.02692971191825129,0.29437028808174875
2022-W08,2022-02-27,-0.32130000000000003,0.2117246000209547,0.5330246000209548
2022-W09,2022-03-06,-0.3663,-0.41091159209914985,-0.04461159209914983
2022-W10,2022-03-13,-0.3663,-0.7997323964472667,-0.43343239644726667
